"id","zeeid","zipcode","type"
"871","1108","33908","POL"
"872","1108","33919","POL"
"873","1108","33957","POL"
"874","1108","33928","POL"
"875","1108","33929","POL"
"876","1108","33931","POL"
"877","1108","33932","POL"
"878","1108","34133","POL"
"879","1108","34134","POL"
"880","1108","34135","POL"
"881","1108","34136","POL"
"882","1109","74033","POL"
"883","1109","74037","POL"
"884","1109","74105","POL"
"885","1109","74133","POL"
"886","1109","74136","POL"
"887","1109","74137","POL"
"888","1109","74170","POL"
"889","1109","74011","POL"
"890","1109","74012","POL"
"891","1109","74013","POL"
"892","1109","74134","POL"
"893","1109","74169","POL"
"894","1110","94521","POL"
"895","1110","94565","POL"
"896","1110","94509","POL"
"897","1110","94531","POL"
"898","1111","10583","POL"
"899","1111","10701","POL"
"900","1111","10702","POL"
"901","1111","10703","POL"
"902","1111","10706","POL"
"903","1111","10710","POL"
"904","1111","10502","POL"
"905","1111","10522","POL"
"906","1111","10530","POL"
"907","1111","10533","POL"
"908","1111","10577","POL"
"909","1111","10601","POL"
"910","1111","10602","POL"
"911","1111","10603","POL"
"912","1111","10604","POL"
"913","1111","10606","POL"
"914","1111","10607","POL"
"915","1112","11702","POL"
"916","1112","11703","POL"
"917","1112","11704","POL"
"918","1112","11707","POL"
"919","1112","11735","POL"
"920","1112","11737","POL"
"921","1112","11795","POL"
"922","1112","11798","POL"
"923","1112","11701","POL"
"924","1112","11726","POL"
"925","1112","11757","POL"
"926","1113","10501","POL"
"927","1113","10507","POL"
"928","1113","10511","POL"
"929","1113","10520","POL"
"930","1113","10521","POL"
"931","1113","10527","POL"
"932","1113","10536","POL"
"933","1113","10547","POL"
"934","1113","10548","POL"
"935","1113","10566","POL"
"936","1113","10567","POL"
"937","1113","10587","POL"
"938","1113","10588","POL"
"939","1113","10591","POL"
"940","1113","10598","POL"
"941","1113","10510","POL"
"942","1113","10514","POL"
"943","1113","10532","POL"
"944","1113","10546","POL"
"945","1113","10549","POL"
"946","1113","10562","POL"
"947","1113","10570","POL"
"948","1113","10594","POL"
"949","1115","78230","POL"
"950","1115","78258","POL"
"951","1115","78259","POL"
"952","1115","78260","POL"
"953","1115","78278","POL"
"954","1115","78288","POL"
"955","1115","78249","POL"
"956","1115","78255","POL"
"957","1115","78256","POL"
"958","1115","78257","POL"
"959","1115","78269","POL"
"960","1117","10305","POL"
"961","1117","10306","POL"
"962","1117","10308","POL"
"963","1117","10307","POL"
"964","1117","10309","POL"
"965","1117","10312","POL"
"966","1120","98223","POL"
"967","1120","98273","POL"
"968","1120","98274","POL"
"969","1120","98284","POL"
"970","1120","98287","POL"
"971","1120","98292","POL"
"972","1120","98258","POL"
"973","1120","98259","POL"
